Codigo_IBGE,Municipio,Ocupacao,Quantidade
230070,Aquiraz,AUXILIAR NOS SERVICOS DE ALIMENTACAO,2117
230070,Aquiraz,GARCOM,1335
230070,Aquiraz,CAMAREIRO DE HOTEL,1075
230070,Aquiraz,COZINHEIRO GERAL,931
230070,Aquiraz,RECEPCIONISTA DE HOTEL,583
230070,Aquiraz,ATENDENTE DE LANCHONETE,551
230070,Aquiraz,CUMIM,353
230070,Aquiraz,PORTEIRO (HOTEL),231
230070,Aquiraz,COPEIRO,178
230070,Aquiraz,CONFEITEIRO,133
230070,Aquiraz,BARMAN,124
230070,Aquiraz,PADEIRO,103
230070,Aquiraz,PIZZAIOLO,46
230070,Aquiraz,GERENTE DE HOTEL,41
230070,Aquiraz,GERENTE DE RESTAURANTE,41
230070,Aquiraz,CHEFE DE PORTARIA DE HOTEL,37
230070,Aquiraz,CHURRASQUEIRO,36
230070,Aquiraz,CHEFE DE COZINHA,35
230070,Aquiraz,GOVERNANTA DE HOTELARIA,30
230070,Aquiraz,COZINHEIRO INDUSTRIAL,28
230070,Aquiraz,BARISTA,17
230070,Aquiraz,MAÎTRE,14
230070,Aquiraz,CHEFE DE CONFEITARIA,5
230070,Aquiraz,GARCOM (SERVICOS DE VINHOS),4
230110,Aracati,GARCOM,1683
230110,Aracati,AUXILIAR NOS SERVICOS DE ALIMENTACAO,1482
230110,Aracati,COZINHEIRO GERAL,974
230110,Aracati,CAMAREIRO DE HOTEL,937
230110,Aracati,ATENDENTE DE LANCHONETE,436
230110,Aracati,RECEPCIONISTA DE HOTEL,365
230110,Aracati,BARMAN,226
230110,Aracati,PORTEIRO (HOTEL),173
230110,Aracati,PADEIRO,162
230110,Aracati,PIZZAIOLO,118
230110,Aracati,CHURRASQUEIRO,115
230110,Aracati,COPEIRO,114
230110,Aracati,CUMIM,86
230110,Aracati,CONFEITEIRO,58
230110,Aracati,GERENTE DE RESTAURANTE,52
230110,Aracati,GOVERNANTA DE HOTELARIA,45
230110,Aracati,CHEFE DE PORTARIA DE HOTEL,43
230110,Aracati,CHEFE DE COZINHA,25
230110,Aracati,GERENTE DE HOTEL,23
230110,Aracati,COZINHEIRO INDUSTRIAL,16
230110,Aracati,BARISTA,6
230110,Aracati,GARCOM (SERVICOS DE VINHOS),3
230110,Aracati,MAÎTRE,3
230110,Aracati,CHEFE DE CONFEITARIA,2
230110,Aracati,DIRETOR DE PRODUCAO E OPERACOES DE ALIMENTACAO,1
230220,Beberibe,GARCOM,335
